name,country,mbid,youtube_channel
Ozodbek Nazarbekov,UZ,7e50e916-a915-4c65-bb26-cbe8bdb2f7e5,
Yulduz Usmonova,UZ,c42b6496-c98b-4586-8631-8658b9017d25,
Bahrom Nazarov,UZ,be053040-247e-4b11-83cd-016dcaee0520,
Lola Ahmedova,UZ,6ae7ba9b-5aa2-4ad7-8a5e-a15fa60a0e22,
Alisher Fayz,UZ,4005a515-eeda-4e2b-9a59-9a92fe35fd08,
Sevara Nazarkhan,UZ,6d436381-72ef-4933-b599-5e8bf7d35406,
Согдиана,UZ,f5828459-8ceb-4e86-a2ad-1dd1c18d6206,
FROM.UZ,UZ,b3705e70-7e4f-4801-a2df-cdd607ea2c9e,
Orgatanatos,UZ,364c8b30-5479-4176-803d-471aab37f51a,
Googoosha,UZ,8e61d59d-e67a-4437-b5e4-4fd792fcbd19,
Şahsenem,UZ,ea64b5da-5bf6-43f0-8ba8-c9c115425df9,
Behzod Abduraimov,UZ,2a10f8e5-515a-4ff1-a032-fe2ed96dfb23,
Eldar Nebolsin,UZ,69145ccf-be8f-4e42-9135-d0ea3bf18628,
Aziz Shokhakimov,UZ,44344aaf-884e-433f-b113-93840ab37af8,
All Tomorrow’s Parties,UZ,630aa157-3e51-4d3e-b782-7db60731797e,
Anna Malikova,UZ,6c4a166b-7007-472d-be39-5a806db40981,
DJ Piligrim,UZ,8c275962-be29-44bc-a1aa-82e048eb8c31,
Lola,UZ,25bea2c9-d37b-49bc-a49c-7657374e8167,
Monâjât Yultchiéva,UZ,b4096d58-5cd3-4291-a903-c8538f8a8461,
Nutyaš,UZ,14fb4a45-16aa-41ed-8b8d-dbb1f0fcdfda,
Nasiba,UZ,ad46d84b-d6a4-42ce-bbb6-327346c3b547,
Turgun Alimatov,UZ,af792b8d-50d6-4d72-8075-39261f8f5ec7,
Сато,UZ,545b0aad-baa4-4b9f-958f-a59556a0c5e8,
Krsnī,UZ,4b056ffb-02e9-4ada-b646-d27b8682f90e,
Eugene Mursky,UZ,d97c4f8b-0621-4df9-b373-dcc7ea9bceaf,
Feruza Jumaniyozova,UZ,cbdd41c9-dc3b-4468-b938-ffdbe52a37f1,
Furqat Ashuraliyev,UZ,09d3140d-e9ac-4712-80da-cb3d27ce430b,
Elmurod Ahmedov,UZ,3934d96a-d192-4b25-9095-0e2c9fa8bb82,
VAGAN,UZ,1426813d-be76-4d65-b044-5b828d91597a,
Dark Dimension,UZ,91714e59-4439-4b02-bd89-97489cae42fd,
Суицид,UZ,c8a2d7bd-cca3-45c3-b220-3d81135e4645,
Dilso'z,UZ,95fd6fd1-43bb-4f2d-a2b7-00dadbef62a8,
Zindan,UZ,23de8d2e-98d3-45df-98ef-6997bf780c3a,
Sharq,UZ,37502534-60b4-4f89-9f31-d94c3c17b8d2,
Ulugbek Palvanov,UZ,7c827c6d-622d-428d-b931-da84ef136851,
Iced Warm,UZ,11309336-64f3-4796-bb41-49439f993e66,
Abdorahim Hamidov,UZ,8559440f-344c-4e44-a8c6-0b4402b69bd5,
Trace,UZ,211bd836-c96b-494a-bfd2-871b8122a52a,
Dilorom Saĭdaminova,UZ,cb92863d-c1dd-4e77-bf2a-f01ed6816be3,
Ансамбль Современной Музыки Под Управлением Грига Пушена,UZ,0a65a3da-33b0-4d78-ab21-daec6c133299,
X Religion,UZ,6f7ce8bd-9409-40d7-9ea9-cdf89e2fcbab,
Dado,UZ,a0705949-6145-444f-b7c5-2a8a28e3d3bf,
Далер Алиёров,UZ,dbf237be-f816-4d22-abd3-80b1c674490e,
