name,country,mbid,youtube_channel
John Paul II,VA,b3e2a4cb-3e2b-4d77-b744-89dc43e8362b,
Cappella musicale pontificia,VA,fa70a305-d6fd-46b5-8dda-1f202deca076,
Le Choeur du Vatican,VA,55ba5f5d-212e-43a1-8da2-9763f30577e1,
Pope Francis,VA,5778d5f1-ae14-42bf-9fe9-d79d6feb6835,
Pope John XXIII,VA,d39663e2-360b-44ea-81a2-2829539d72e4,
Pope Paul VI,VA,1eb72151-ce21-4950-ba6e-c39c2c1cb235,
Pope Benedict XVI,VA,9d83aa0b-ce3c-4247-961b-66a9dbd02677,
The Holy Vatican Choir,VA,b6b37857-360a-4d66-b704-bf61d86db592,
Cappella Giulia,VA,065006b2-1f97-49d0-9339-9710d87e4da7,
Coro di Sant'Anna dei Palafrenieri,VA,c8e2c65d-2917-4028-beb9-1b8e874cc238,
Emanuela Orlandi,VA,7d3afa47-de22-4fec-a4e1-850a847cf7da,
Pontifical North American College Choir,VA,963469ef-9a0b-41b1-bd19-dec1d805daf0,
Pope Leo XIV,VA,7b86915e-a640-426f-9278-3c932cee949a,
Pius XI,VA,77350cb5-d81e-4029-9c0d-1b3732880134,
Ioannes Paulus I,VA,c224c4ab-097f-4504-b9ac-483e4dee732d,
