name,country,mbid,youtube_channel
Kevin Lyttle,VC,94cb9444-aa8e-43cf-9816-839d90023a44,
Shake Keane,VC,6b32e8e6-8abf-4692-99d2-b270b9b4e080,
The St. Vincent Latinaires,VC,b95e56e5-40b6-4b6e-9985-1781c7ff065d,
Azariah Gibson,VC,be5ced48-8368-4cbb-876b-fc7be1781edd,
Cozz1E,VC,5e59886e-fc78-4f93-b782-1dd28e5c05b7,
shornbeats,VC,d21956ca-8fdf-49f7-a0c7-bc712c59d8a8,
Gamal Doyle,VC,3e263245-aac3-4a43-b5eb-3d9eaa8fbc1b,
Dynamite,VC,ba15692f-cb88-42d7-9503-611cc2a9d9a8,
Melissa,VC,4a9c72ea-dd38-475e-9899-f04e4c13103b,
Skinny Fabolous,VC,6019223b-50d0-4ad3-9385-bbb9f50f69ee,
Dynamite,VC,cc3f3d3a-3074-4956-bfde-abf00641fc2c,
