name,country,mbid,youtube_channel
Arca,VE,f7625f34-1799-42a4-a1c6-22b5377c767b,
Oscar D’León,VE,b6059fbd-b176-4585-bb58-ea2f34269500,
Billo's Caracas Boys,VE,38812860-5534-42d2-9fe3-35293d46d882,
Soledad Bravo,VE,7b85ae64-cffc-4fd1-af16-452cf4e4a027,
Ricardo Montaner,VE,9ea7c031-a2d0-4a89-b469-72b51c47417c,
Franco de Vita,VE,2cbd0554-99bf-4a1b-99bf-d11b3c58a50b,
Dimensión Latina,VE,19cf9da9-4a63-4edd-9f65-816f309dc2f0,
Los Amigos Invisibles,VE,c694bf65-83e9-47d5-aeb3-bb68f78ef981,
Pastor López,VE,3f109c6b-51a3-4012-81ff-fbf5457fbed6,
José Luis Rodríguez,VE,e291bd1a-b17b-418d-9695-6b651660c34d,
Desorden Público,VE,330966e4-cac3-4e19-927e-0fcb14225547,
Guaco,VE,57562f59-f3a0-4d58-99ed-02eb639947ff,
Los Melódicos,VE,b16de89c-a251-4a0c-a463-9a5d744a1fc5,
Gustavo Dudamel,VE,4c8702d6-86f9-4ef0-a9ee-08042481c542,
Ray Pérez,VE,c6030fdb-7850-40ed-8665-b9abf9c7def9,
Ilan Chester,VE,9ee21580-2800-46ba-8d80-eff00e60f961,
Carlos Baute,VE,bbad030f-bf55-4fc2-a643-248708e72f22,
Alí Primera,VE,ab29cc21-c046-4756-9ecb-e290b15289ba,
Yordano,VE,842e491c-dc1a-424c-8ec2-448fc2e81d31,
Adolescent’s Orquesta,VE,e727df57-b913-4d89-806d-bc2661567f61,
Zardonic,VE,993a72cf-d48c-446a-a6f6-97b2b7ea3831,
Aldemaro Romero,VE,7d5d850b-7217-41ba-b8d9-5396d587deb8,
Nelson y sus Estrellas,VE,95d4a7db-2d48-427e-96f0-a612e155f6bc,
Gillman,VE,86dae8dd-b02a-4e8a-af45-653e971746e3,
Luis Felipe González,VE,c4a7d321-c1ab-4c75-bba8-f02d145baa81,
Reynaldo Armas,VE,6b67a6ba-ca9a-41bc-ae3e-af08cc717cbc,
Gualberto Ibarreto,VE,c30cc61c-dd0a-478a-81d7-34a4eed38330,
Caramelos de Cianuro,VE,3ee62edc-3521-4c39-89ce-081aafa79c00,
Subliminal Code,VE,255e2ce6-39a0-417f-a5df-ca0abd1f9318,
Domingo en Llamas,VE,0d65239b-5f5b-4741-8055-552275dcfbc4,
Chino & Nacho,VE,9971d582-1582-4b48-850a-2dfe793a5d30,
Carlos Mata,VE,cad40e4f-9e8f-4236-94a4-cb6ed3c65d21,
Témpano,VE,803c875c-3c5f-455e-8111-21177d793846,
Gabriela Montero,VE,1d8dc1fd-d345-4030-b62c-00046136eef4,
Antonio Lauro,VE,33d21e36-f52d-4ee0-abea-becdff2e9833,
Daniel Grau,VE,80dd718d-c28b-4af0-8b1a-7418841f7c09,
Trauma,VE,2fd4dc8e-6654-43e5-8b6f-0ef1d3c292e0,
Argenis Carruyo,VE,190e40e3-f4c0-45b4-9d93-fde1d2ddf0cc,
Roberto Antonio,VE,35df0cf1-5b2f-4a42-aa1c-efc916377c5f,
DEvSEb,VE,57c9bf48-6ef8-4ea2-bb4d-b342adbf042e,
Omar Enrique,VE,7f55146c-b0f5-4c49-9de3-7f0aed032376,
Los Terrícolas,VE,3898cc2a-4048-4720-9694-76fad6945f2b,
Simón Díaz,VE,36be047b-c4f2-443f-90b8-0453d6eaa339,
Nacho,VE,3447a35e-c56f-47ba-8537-219b29246c07,
Serenata Guayanesa,VE,a2c41bfa-0315-4e17-87c7-55f89e960a28,
Los Chamos,VE,00ab6a36-0784-4370-a529-25479339d0d8,
Diveana,VE,b2a463cc-47c4-4536-83d7-bc5ed5121938,
Nocturnal Hollow,VE,86d296ea-37ff-401f-a3c2-013a5d672413,
Masseratti 2lts,VE,1544e825-60ea-4885-8a30-3d1b31375ea4,
@patía No,VE,6788adf5-cdf9-48c8-90ac-b332e4df532d,
Edward Simon,VE,8d29aacd-3f3b-4154-9b72-28ee15e568a8,
Veldraveth,VE,80cc4857-553e-456a-aaf1-010c92cb556c,
