name,country,mbid,youtube_channel
Midnite,VI,551c816c-923f-449f-b0a1-8b1ca8b3b30c,
Akae Beka,VI,7ec0e32c-c09f-4447-8f12-6d714154073e,
Pressure,VI,1ec97df6-0860-48db-ba08-e823b64326b8,
Dezarie,VI,ef591e39-0c7b-4684-92b9-2f97ed25802e,
R. City,VI,759d57ae-ac3a-4b42-b965-314617a75e4f,
Batch,VI,5560d4ec-1f1f-4ae5-8010-fc58ad431eef,
Denis Charles,VI,09171f48-dbf5-4140-9f39-968734bf2914,
Bambú Station,VI,3c0235ec-3d21-4bb5-b119-c894c93d292a,
NiyoRah,VI,604fb25b-6911-42b9-84aa-f2ff6193791a,
Rudeboy Jett,VI,a4838fde-47f1-469e-a796-596e3e078139,
Rio Thomas,VI,a10a2f55-841c-4c8a-b67e-735ab0b99d08,
Exodus,VI,a1327a38-f856-409e-bd6b-72ef0886c575,
Dem Rude Boyz,VI,0fb8c823-429f-48e9-8ede-494373ff04fe,
Jam Band,VI,0c2577e2-bc81-4125-9de3-3ea26b4c2e02,
Black Culture,VI,df612d14-55ee-4327-a2ef-74c495894f11,
Stanley and The Ten Sleepless Knights,VI,a07c3590-1a89-4f52-b696-31729e4fb0f2,
Venus Dodson,VI,c34d9898-7f8a-47b2-9f69-d9103e4dcef5,
The Eddie Russell Quelbe/Latin Jazz Band,VI,bde79e7c-d470-4025-8866-3ea2a31e35e4,
Scott Buckley,VI,d434b865-bb08-42ee-9f72-74669db70836,
Ras Bumpa,VI,740577ff-849f-4a1d-9097-3e55fb984af9,
Marisol y Los Drunk Dumplins,VI,edb005d9-f1b4-48f6-a75b-3e7cf4b8b8ad,
Vaughn Benjamin,VI,c8714e7b-09cb-49f5-b6da-27c4116f7bae,
Lady Passion,VI,8f12072e-4697-4f2c-869e-ad3c31040cd4,
Planet VI,VI,55707ae7-5295-4b8b-bdbf-968faac8e130,
Jah Bouks,VI,5ba934a9-9dae-4b3e-b527-bf467ab26195,
Prya,VI,602dabb8-054a-4fc1-b42c-a424a186a18a,
Star Lion Family,VI,5f6acafd-22a9-43ce-85d5-95909049d955,
Ickarus,VI,2f3e9232-5395-4d1e-a7a9-249a861c4efe,
Inches,VI,c893a06c-5d85-4fd7-883b-da089fd93bbf,
Bush Tea,VI,0450927f-f553-4319-845b-e144c5b18379,
Jalani Horton,VI,6b5a93a8-da9f-4483-af0b-0e8bb2656687,
Demastas,VI,ca95de1b-2594-47cb-b132-47fec253a836,
Secret Islands,VI,6181c059-55b0-43c9-8c6d-0987b60a5acb,
Ambush,VI,97df6b53-798e-45bf-9b99-312c6dd9eddc,
Kimbe Don,VI,eca69632-26d2-48a4-b082-f0461b28e3fe,
2Saint Productions,VI,32ad49f3-0278-4d22-a1cd-e7d77cef6a1a,
Dan Dadda,VI,723371e2-fb87-49d6-b8ae-dd0307b8679a,
Hugh Petersen,VI,ffb3f7bf-8782-4eb0-825b-79993fdc7d46,
Neanderthal,VI,53279dfc-6fa1-4c41-8276-7a309c3641ac,
Timothy Thomas,VI,93c4a677-a00b-4067-b594-4dcdbc5c9d44,
Gillos,VI,d60f6392-7626-4330-8b38-97d6b8edfddf,
Theron Thomas,VI,88991326-cbc7-4a03-b4f4-94e4a859b6c8,
"Laurent ""Tippie"" Alfred",VI,cd78ea0e-bed7-41f8-9267-33caa6cefa90,
Ras Puma,VI,2558dd87-54ac-43c0-aa33-88771305f310,
Stanley Jacobs,VI,309cc44f-2f7f-4fca-b8c3-74c40b67cccc,
Kevin Christian,VI,9e68526d-4f70-428b-bcf3-b10bccb73ae5,
"Kendell ""KC"" Henry",VI,e26e1c9e-f310-48e2-b3b2-d3530300a8bd,
Gilbert Hendricks,VI,6bbd295a-3bd6-4615-ab0d-77470df39bb1,
Hugh Clark,VI,f59b5309-18e4-4dd1-a71d-a27525df7632,
Padraic Coursey,VI,bf094e44-a651-4250-8217-aa3f3891fa61,
"Herman ""Junie"" Thompson Jr.",VI,faf5ce8f-466b-4d1a-9478-7501d9c2c421,
DeVinci Valentino “Tino” Francis,VI,b55cee45-051b-4fb4-8c72-b1531e9b7c2b,
"Harold ""Steinbrenner"" George Washington Johnson",VI,a20c9ee9-1077-4086-b41e-f15b26b808c9,
"Eldred ""Edgie"" Christian",VI,3c66abd2-dd65-4d6d-a868-ee3970cc4fa8,
Revalation da Royal,VI,c535f171-c912-415e-bee2-ea158214369d,
Otto James,VI,260fa8e9-02ac-4faf-b244-b8fcb2b19c09,
Mario Russell,VI,480bffc5-b291-487a-914e-2fb0dbe8c5ce,
Wilfred “Junie Bomba” Allick,VI,3ea2fd62-b71a-451e-9211-4dfd75e90689,
Larry Bough,VI,ab62d5c4-da59-44e3-a0a2-d3824f26c99f,
Eddie Russell,VI,1419eb60-0945-472d-bb67-f2b558987279,
Rolston Pemberton,VI,8538b640-1c6a-4f6b-834f-592ee117af84,
Jon Gazi,VI,c43a5390-8cb3-4ede-be12-ad18e99fb48a,
