name,country,mbid,youtube_channel
Tuấn Vũ,VN,56985c53-b9a7-4092-865c-6f1b12da9374,
Đàm Vĩnh Hưng,VN,415fbe5d-743a-457c-b6bd-f1f779d4e9cf,
Thích Nhất Hạnh,VN,cc17b2f1-da45-412d-8e57-8d1a83d6d342,
Lệ Quyên,VN,e2d1479f-2334-4d9f-af5c-bf0ddfc80edc,
Phương Thanh,VN,a9eed56e-46d7-4d54-8af6-6a3faed950e0,
Don Hồ,VN,26d6ff3c-71bd-4b97-b305-665d157b7f30,
Quang Dũng,VN,cb598b9d-aa8f-479e-8f23-31dc0fb1e729,
The Muun Lofi,VN,dfde3188-1fe8-49cf-b7cc-58082f1a4836,
Mỹ Tâm,VN,74ba5f84-eec4-48f2-b84a-d0dcc8abf36d,
Mỹ Linh,VN,639e251c-32b1-4f35-af32-9eef33267d79,
Cẩm Ly,VN,99ce2d7d-35ba-4e5c-97b3-13c6ab4db5a1,
Ngọc Anh,VN,55e7791d-15c2-4bc9-8b90-de7628e8c79d,
Giao Linh,VN,d73c1a36-6e96-4a2b-8628-475a73b2cc31,
Bằng Kiều,VN,664080a3-58a3-4257-b557-53c6ec0aae88,
Thế Sơn,VN,9561ef32-c57c-42b2-9bec-30ed006f7c61,
Phương Dung,VN,69841f3b-e12f-4730-8ce3-7ce5e5c2b030,
Ái Vân,VN,4468e48c-560a-4d5e-8e62-9f8f0d15f1ab,
Trần Thu Hà,VN,1c7a0a91-c495-4da9-bcaa-99073c8e7045,
Hoàng Thùy Linh,VN,9ad9a4d3-10a6-4765-b1a4-8100d2cda756,
Sound Awakener,VN,ed3fa414-982a-4fc2-8611-e01a89394b5a,
Thanh Lam,VN,b70af01d-9e7f-4530-952d-7cd7a3de116b,
Đặng Thái Sơn,VN,bd4210b9-93f0-481d-a15f-570bbf0faab9,
Anh Thơ,VN,06283912-bb33-4253-af40-0952c630dbae,
Vũ Khanh,VN,9f32f30e-4e90-455a-8abe-90034f2f06bc,
Trần Mạnh Tuấn,VN,0ba8a148-d4ec-40e7-9fa0-fa14bc0eaa3f,
Trịnh Công Sơn,VN,71a3bbfa-ccf2-47ff-9183-29540b50b3f1,
Hà Anh Tuấn,VN,2d2e0023-d9b0-4f47-8c71-9c86dacdff0a,
Bức Tường,VN,366f0d9f-b6ef-4320-9983-00148a1599e3,
Tra Nguyen,VN,d7d42659-673a-458a-aae9-b4ae6d73d1cc,
Lâm Hùng,VN,c5096745-87cd-4470-b6f0-606f9828780c,
H2N,VN,4ba5e5be-59c5-4064-a32c-98e928745f29,
Rắn Cạp Đuôi,VN,97e1b0f7-9c38-408c-83ed-1140f4e9532a,
Đông Nhi,VN,f4f88ad0-09f0-4f47-b616-7488cc01e5eb,
MTV,VN,cb688ca7-bf8f-4e58-b1a0-69b26c9f49e3,
Tùng,VN,34016e9b-d697-45ac-bf15-69fc0903c5c4,
