name,country,mbid,youtube_channel
Poetik,WS,3e4ae933-1dc5-4f0c-9d76-54920382627d,
Zipso,WS,6f5f6846-a3ab-4b6e-964a-0bea9bf118a5,
Daniel Rae Costello,WS,cf3f59a9-bbca-4200-a7d4-83c8515af3ac,
The Golden Ali’is,WS,1d842fd7-0629-449a-b781-f447973fe052,
Albert Wendt,WS,7353d565-f930-4785-a76a-e978f03a837e,
Mr Cowboy,WS,e7c88381-7816-4958-af56-42448fcac4ea,
Ataga'i,WS,b16286ab-d64a-4f9d-8b25-5c80f4817aea,
Dr Fontee,WS,263159af-c304-4679-a346-d14f6fd2f752,
Loces,WS,a32153ff-83c8-441f-aca5-f730a7026a60,
Shy Guy,WS,cefe293f-fc3c-4f82-b210-01d76a4ec4df,
Tau Logo,WS,48f783dd-5d7b-4419-b3ca-dd6fd8f03475,
JKING,WS,af3b9113-ebac-4a01-bc22-6673d99d2be2,
Alexia Rae Costello,WS,326767e5-cfa1-4fa9-8858-1cf42eba8a40,
MAYJUN,WS,f0019e95-cf7a-4d70-8702-8e76b2b477e9,
Taumate,WS,b30ff16d-05d1-41b5-8c9f-7713b6b7a32f,
