name,country,mbid,youtube_channel
Mikidache,YT,806d4672-7274-4759-9290-065049970344,
Terrell Elymoor,YT,7ee78ea8-751f-4910-8185-a0299f329a23,
DGN,YT,65877f88-ee17-40e3-8439-377286c2dc69,
Lathéral,YT,878f0048-20d5-4cec-8cee-e25101081ba9,
Ahmed Abdou,YT,58ca1e12-efca-41d5-898e-796e6049c2ae,
Mawa Association,YT,0a0ceadd-df69-472b-a620-e835076734cb,
Moussa Tadjidine,YT,79b934b6-0d91-4362-8495-a10d9af7645d,
Antoy Mari,YT,30e67640-61a5-47b9-a925-16886fd3fe49,
Ali M'Benchezi,YT,1b7ad9d4-9801-4b1e-83d4-84701509661b,
Jean Gabriel Zakaina,YT,ead5f66e-bf25-4694-8121-95ac85d843fb,
Saïd Ali Mhadji,YT,97ae8d4b-5af8-4660-9bee-eb9799bc92ff,
Velo Mwarabou,YT,6ea6488e-5dc9-45fb-9612-e9a2897877e6,
Akiio,YT,8e3e68ac-2cc5-4743-b474-fd5aef3e67b5,
Dievil Genius,YT,2cfde5b7-6e96-40d5-af2f-bbf8b73a4e94,
Aina Zoubert,YT,3b4f3ec2-42e9-4fd8-a5a0-bf6742e9c654,
Troupe Kinga Folk,YT,af63e4e1-1596-4351-b995-be7a9b61d39c,
Mariama Ada,YT,f60fa0c5-a747-40c0-bed8-aaf79215359a,
Hosseni Adija,YT,8fde907b-ebe1-4400-ae8f-c57d366d2ded,
Ahamada Attoumani,YT,eb0d54a1-819a-4cee-9669-f6127b976eda,
BLACKDUR,YT,264203ea-3ca8-4ebc-a08f-7f743caa9ed5,
