name,country,mbid,youtube_channel
Miriam Makeba,ZA,bc5c2918-4aba-4ef6-a245-100563a4487f,
Trevor Jones,ZA,961f31f2-31bf-4469-bc66-f6a2fda12db5,
Abdullah Ibrahim,ZA,fd64e185-9973-44d5-ad09-5d5562804292,
Hugh Masekela,ZA,83a2e0fb-3d9b-46ff-b383-3dde54c15297,
Trevor Rabin,ZA,884ee438-f185-4b2c-b23b-f96886bdc91f,
Stef Bos,ZA,01807344-be40-44c1-a7f2-f4e04f18d2b2,
Mango Groove,ZA,9ca30765-70dc-4677-970b-56c7eaec8813,
Brenda Fassie,ZA,91838da6-e1cc-46ff-b235-2a2b83814608,
Juanita du Plessis,ZA,2a20116e-c1d9-412f-a985-0239c4d3e24b,
Steve Hofmeyr,ZA,de02a58a-f64e-4d2a-b0c6-5db5f79c64b6,
Lucky Dube,ZA,97aeedc1-f252-4cfa-a8d8-c895c490532f,
Kurt Darren,ZA,a033e3a1-a394-48c2-8c21-dc38360f61f3,
Protoculture,ZA,7e85fff1-eb98-4602-b057-d0c84f0994b8,
Die Campbells,ZA,2f84824c-6dea-402a-99b3-336c93429148,
The Parlotones,ZA,01ff95ee-0e52-4809-b67a-d6c26a944747,
Counterstrike,ZA,e9cf225a-3259-489c-b73c-da57d69139d3,
Laurika Rauch,ZA,4372a0da-c690-42e9-9ecd-417a18135cd3,
Juluka,ZA,46868313-f4bd-40fd-81f6-b5d09b10c3fc,
Psalm Trees,ZA,8e5038b0-f71f-4951-aa26-542cdfe9280a,
Johnny Clegg and Savuka,ZA,08e3c40b-dbec-49aa-96ff-e1ab37ae6aca,
Die Antwoord,ZA,7e07ffb5-c0f6-4891-a74d-a5e12a247785,
Anton Goosen,ZA,e761a240-d962-4fd2-985e-c0d3bef94ab6,
Goldfish,ZA,98f1b98b-2296-4fb3-ab16-4dffe67f2174,
Dozi,ZA,764b6edd-5189-4452-9726-eb26b26c0e02,
Leon Schuster,ZA,c3336dda-c0b0-42b0-aa12-d8f858bfbf3e,
Robin Hogarth,ZA,d84c56ea-f2ab-44ec-b42e-332b17cd5f31,
Koos Kombuis,ZA,bcc38c17-3c3d-41e0-b649-9ebeca45a475,
Clout,ZA,0dab0b7d-6888-457f-8522-d91639131425,
Johnny Clegg,ZA,961498e7-b097-4341-891d-781235a8aebd,
Prime Circle,ZA,bfb2bae0-fee1-4c56-a041-7ff25b6bdd9d,
Carike Keuzenkamp,ZA,a277bf70-9b60-4a64-9ae0-e0b9b771a2f7,
Daniel-Ben Pienaar,ZA,05b9af97-63f4-43a6-a0cf-cbc85912948d,
Theuns Jordaan,ZA,f079e3ba-4d42-445d-8b82-55c1cb670f15,
Gé Korsten,ZA,c57b7054-7297-4ade-bf67-e4eb1b1170e6,
The Awakening,ZA,601ae49e-62d6-4424-b551-958132568abb,
Tree63,ZA,31da91d3-a60c-4df4-af62-67e3913c0db3,
Kalahari Surfers,ZA,d7729872-9b7f-4273-88c2-335ad0f61dda,
Valiant Swart,ZA,a6823a3d-0fbe-4ef3-b7d2-706de1f4b978,
Soweto Gospel Choir,ZA,49dca4c0-4554-42cd-9b93-ef85b1aaf118,
Freshlyground,ZA,fc318255-d27e-4e85-bfe5-46657eaef734,
Karen Zoid,ZA,3d1a33ee-97a3-43e3-afe8-580d5b8f1105,
Watershed,ZA,9dddb6a5-a8ca-41bb-80b7-cda34a4c5742,
Springbok Nude Girls,ZA,0c8a0d50-1567-4daf-8d29-e1e5ed00e836,
Nataniël,ZA,2762d714-f4a5-4a8c-be49-8b93a9b8587c,
Reinhardt Buhr,ZA,485cc0e8-63e4-4d0e-bed5-dfd1894caa96,
Darren Simpson,ZA,4bb60fa9-e128-4e44-b352-5106017e3845,
Vusi Mahlasela,ZA,bba868d4-974d-4b3b-a09f-ceef888da5b8,
Stimela,ZA,a4a3f16e-0530-4656-96d5-4d15e82a7c9a,
Robbie Wessels,ZA,e3b1cf33-c463-4a08-8347-2f396f2ce232,
Ray Dylan,ZA,dba51712-0b0e-4cf3-b852-938077cbebc0,
Mahlathini and the Mahotella Queens,ZA,7a63191f-6d03-4b91-ae21-86dac044bec8,
Danny Williams,ZA,aab7a1d7-5461-4874-8162-bc127b91da59,
Jan Blohm,ZA,4de10576-56c0-428f-842e-fe3cb9ca44fa,
Louis Brittz,ZA,dc9c8f13-fb68-4ff7-8ce8-28a51c955412,
André Schwartz,ZA,dfc74535-7c2c-4d22-a379-0dcbc5501ea8,
Rabbitt,ZA,f0036313-7b02-4068-8bd7-bac861f2b020,
Johannes Kerkorrel,ZA,bca8d8f9-1fc6-4198-9ea6-fb6876af1294,
Anneli van Rooyen,ZA,154da8bf-cb98-40fe-8f94-c7631de9100f,
Mathys Roets,ZA,cd7801ab-4fb9-4769-9d1b-03466ee5750c,
Nduduzo Makhathini,ZA,75a9a46c-f01c-4be5-af07-91a4e17385ad,
Lebo M,ZA,a966b097-7981-40c5-82b4-79c6fe28932c,
Mahotella Queens,ZA,cf54350f-92c4-495e-9a72-8691b0657aaf,
Die Heuwels Fantasties,ZA,c1b4623d-60ae-49f5-8deb-c8541271627f,
Thys die Bosveldklong,ZA,1088c6d0-e88e-4bbe-853e-3171cc0d3d6f,
Willie Joubert,ZA,64ce696c-ea43-4d99-b6f8-b3242c8936af,
Nádine,ZA,8c034b3f-a5c7-448e-939f-e7afcb630a85,
Alan Ladd,ZA,f59208b6-8bc9-4d3d-a1b7-93771b349673,
David Kramer,ZA,76f22f22-0717-4e75-ba07-b5141c491f6a,
Nicholis Louw,ZA,9ccb5974-c3bc-4091-acbd-6147d81b288f,
Lesley Rae Dowling,ZA,a75c93bc-0bdf-4f7a-82cc-13f3d21d7f85,
Bobby van Jaarsveld,ZA,0abc8aa6-b403-4dac-806e-6ee9bac4a689,
Letta Mbulu,ZA,9f7483cf-d8aa-45ce-b90c-da2e359a7815,
Father Focus Confucius,ZA,b6dbb2e0-f338-43b0-aacd-95b4411e5fbd,
Sonja Herholdt,ZA,2573f6e5-a582-4124-8360-673a43c6a7ca,
M’Du,ZA,155ad080-0ecf-4925-961f-b2f29dd8686b,
Manuel Escorcio,ZA,c44299ca-d9e7-4ed0-aa69-354644f5a33e,
Worsie Visser,ZA,7a531860-93b1-4e1a-a8d2-1ee1bcd7696b,
Vulvodynia,ZA,53689c08-f234-4c47-9256-58c8568f06d1,
éVoid,ZA,b9396cdc-041f-4f73-9fa3-fb64fc0cab36,
Four Jacks and a Jill,ZA,5468ad28-2273-4763-9ece-8b22a6424127,
Fredi Nest,ZA,95516270-668d-4c4a-9cb3-7e6f6a8ca21c,
Jack Hammer,ZA,93f0201e-0a2c-4f4a-8a51-0f50ba75521f,
Bobby Angel,ZA,416576a5-ae72-4c25-823f-1e6af26dd797,
Adam Tas,ZA,d8c0aea7-ebd7-408a-b051-7d8f3416a45e,
Louise Carver,ZA,6c8f7a3d-0a24-40a3-9514-b6e92b0be3a4,
Wilbur Smith,ZA,385c3cf5-ba97-4d13-882b-b228502e7b27,
Just Jinjer,ZA,493e31a9-5f44-4b95-a12b-975b377dbd07,
Jan de Wet,ZA,fa4fc225-7869-48ec-a3ea-663fdd564b98,
Bok van Blerk,ZA,58f35e0b-a9a3-4620-915c-61c4c40be87d,
Black Coffee,ZA,7fa03932-cd68-498f-aa4f-d4a6a2ce6071,
Lianie May,ZA,e01a8279-b422-46c3-ac4a-b02b5e291cf7,
Arno Jordaan,ZA,d94978a3-e081-400b-86a9-24b3e07a69c2,
Chris Chameleon,ZA,905d806b-8794-4256-854a-0336a892b03c,
P.J. Powers,ZA,58cc9dcb-767a-488f-b07d-299635c74274,
Tananas,ZA,c69906c3-816c-4c22-a056-b6445ba53314,
Guy Buttery,ZA,13325b68-8717-4e82-b31f-1028e45fcac4,
John Kongos,ZA,0093cf21-ed2e-446d-921c-e716e05bdfe5,
DJ Ossewa,ZA,1fbb6988-def7-44e3-a3e1-d6e84d47aaa1,
Soweto String Quartet,ZA,39128f2f-a42c-4492-83c5-9db4979ba14b,
Mfaz' Omnyama,ZA,21b7d5f9-6102-40ae-be06-3b2900bd3ed0,
Fokofpolisiekar,ZA,8958abb9-5542-4d80-bb25-f832f99548fb,
Spoek Mathambo,ZA,2fd8b4f2-af00-4235-9a8e-1fa3205fb643,
Eden,ZA,e1bf786f-ba77-4100-8668-0936400b70be,
The Narrow,ZA,d55da070-3a56-4dff-b3eb-e122f626662a,
Jay,ZA,1f0ac180-7e40-4efc-b472-2abea1d4ee94,
Nibs van der Spuy,ZA,1978ae2d-21c4-42f2-aed0-cc03ce8fa351,
Margaret Singana,ZA,3eca8abe-c803-4fa2-91be-fe0a4bb9a587,
Civil Twilight,ZA,36ecdd8b-ed83-4ccf-a930-52cf582d3c9d,
Arno Carstens,ZA,cd4d24b3-8dc3-4370-ab5c-fc21dc15fae5,
Coenie de Villiers,ZA,2cf2b406-9f7f-4530-8e1d-dd83898f7b86,
Johnny Dyani,ZA,3bef4088-cd6d-46c6-8600-a46b9dd000c0,
Tribe After Tribe,ZA,a882b584-d089-4143-969d-45922f4a9304,
André Kempen,ZA,a8be64c5-a22e-47fc-8f8f-70b9af487d99,
Gerhard Steyn,ZA,e1a40d21-13e4-42d4-9ca5-d8cd37cc843d,
Snotkop,ZA,71c356e9-b45f-41e5-8030-620f70529d00,
Amanda Strydom,ZA,e87875c6-a327-4403-ba51-de9f2b7d914c,
Qkumba Zoo,ZA,5cbd9528-7193-4af0-bbb8-50ad60b85270,
Soul Brothers,ZA,018268c2-5fcf-42f7-a3f8-289eeb48d8fa,
Spoegwolf,ZA,eb8ebd7a-269e-4792-96e5-b67d8bbbc89a,
MIC,ZA,20cdefba-fbc7-4f36-b35b-1490561d50aa,
Amampondo,ZA,04371f27-8ca7-46bb-b597-12d9bc5b4b81,
Jeremy Loops,ZA,b2cf9503-d19f-47ff-b0ef-fe98322d7aab,
Felix Laband,ZA,a36e9173-2c46-42c6-b319-e9a4155ef2aa,
Yoav,ZA,cdc62516-147c-41a0-9a2c-9d24cccf91cd,
INFERNO,ZA,0afadf95-950e-432a-9733-1784fc1f64ae,
Tyla,ZA,45425c84-9092-4e2c-b732-e1d0280b580a,
Mean Mr Mustard,ZA,f3100e25-997f-4c02-90f5-f399e65e6ee7,
Nelson Mandela,ZA,33c3a112-3a62-461a-b02d-763bbe168216,
Nianell,ZA,52d1bb8f-5ce9-4436-843c-ff9f6fb58360,
