name,country,mbid,youtube_channel
WITCH,ZM,6fc531d2-9a47-496b-b4b5-01e2b17fe99d,
Ngozi Family,ZM,88cd7699-7130-4538-841b-32d92969dce6,
Amanaz,ZM,2c2f217c-83f9-4ebb-8ab9-dd5c612ecd65,
Rikki Ililonga,ZM,1b7986f6-9c75-4e3c-b132-ebe1db852e34,
Paul Ngozi,ZM,399a6026-aa31-4a6b-b347-82c2636b4fd4,
Musi O Tunya,ZM,4c144421-7186-4d00-91ab-60679eeef799,
Chrissy Zebby Tembo,ZM,0cda75c1-cddd-46f1-9f2c-3b647c7c1942,
K'Millian,ZM,97682a34-a133-4fd7-b425-35b8bb1e9216,
Zambian Vocal Collection,ZM,17c2c5a4-6a7b-491b-abe5-df9f1185c416,
Zambian Acapella,ZM,4783c5da-2bca-401b-a3b3-28a54540f2e9,
JK,ZM,04b5bcf2-0897-4c1c-8f92-8ff922ae5292,
Smokey Haangala,ZM,01bb7718-9f65-42b5-a7f5-d84c0290bac3,
Crossbones,ZM,73e72f12-634b-455d-89e9-0a486922ee56,
Ricky Banda,ZM,4be0e4d5-3fe5-4709-9a89-19b221475041,
Baska,ZM,e2dc00b7-5daa-480b-9a94-76109d6d6e77,
B'Flow,ZM,9937bdc8-e282-4f8a-b9f9-f66264c43cdf,
5 Revolutions,ZM,2a2c612d-7e5d-49ed-bc09-3649e6cf8ebd,
Blackfoot,ZM,04a87468-20a3-4d34-a117-7822d77a0f24,
Fireballs,ZM,7d91f5a5-ef65-4962-832d-f253ab644c2a,
The Peace,ZM,875d299b-3c5a-4eee-bdc8-5c1726b51299,
Dr. Footswitch,ZM,419af48b-0b0b-4e18-a0b5-721b3963473b,
Yambwa Imwaka,ZM,884aec66-bc12-45ce-8df7-9646ab08d71c,
Dalisoul,ZM,eb228e2b-6067-4d3a-bdae-a7b511dc83aa,
Roberto,ZM,df812ab5-5eff-40ed-94cd-d7f9e794674b,
General Kanene,ZM,37666a6a-73d4-4fdb-86c3-6cbdf4e360f5,
Salty Dog,ZM,13bf60eb-7b1f-4900-b934-06ee5cbbe5b1,
Afunika,ZM,892a59f9-049f-4ab2-8ba8-d81b9222e7f3,
OC Osilliation,ZM,517a2c5e-87df-454b-b355-0c927cbb1a7e,
The Oscillations,ZM,cfc95bfe-2525-4d23-ac7d-7104280b8326,
P'Jay,ZM,33428dbd-3b8c-4028-9e7d-95376d3c9532,
Born Free,ZM,6ce7b1cf-63c7-4974-b4b8-2e25056ec0ea,
Caesar Cognac,ZM,687cdfb0-419c-4fa3-8542-096c1595b189,
Keith Mlevhu,ZM,ef7963cb-c51e-462d-8eb9-5be126a734b5,
Dreamtwinz,ZM,4b78756d-7254-4e18-8c3a-e0f390210588,
Scarlet,ZM,d11f3e6f-54ff-4bdf-bed9-b860aa810ccf,
Macky 2,ZM,38b53e74-b662-4a59-be8d-084aba84a080,
E_fflux,ZM,850e9202-ae96-4e8a-a065-b19983c7e08a,
The Habakkuk Brothers,ZM,fac001a4-6216-448f-bbc9-01de11bad915,
Nashil Pitchen Kazembe,ZM,389d05a1-3b64-4d67-bfa8-622b5948558b,
Tinkles,ZM,5d61445f-d085-49df-8288-072499ed61eb,
Franciar,ZM,d656bf67-b442-4fac-81d4-8ab1ee5ee69a,
Mike Nyoni,ZM,d5f34cc8-046c-41cb-a964-387565374b64,
Dandy Krazy,ZM,e207537b-260d-432f-bbf5-c365a27d1f38,
Mumba Yachi,ZM,d8fc52e6-4a18-45ef-b66b-ab79cdab6624,
The Big Gold Six,ZM,7dd9c5d0-8b2b-46b3-8a26-53e9485c1178,
Petersen Zagaze,ZM,1cda276a-ab4d-471b-9726-a9ed42d2a4f8,
Runell,ZM,e81fede3-4719-4ab5-8187-fa1d12abb2b0,
Teddy Chisi,ZM,f6a93539-7e80-4054-a27f-2bddae4b0bd6,
Machine Gunners,ZM,fdcffe17-bc07-44a5-9346-a390e99291b8,
Suwilanji,ZM,9a9571a4-208f-4f45-802f-58c2feb5bb06,
B Nell,ZM,57127b50-d60f-45c7-b00e-49fcc5809f5b,
Viola,ZM,f74784e9-600c-4bdf-a324-b1dd430362a4,
Shalawambe,ZM,cae55d81-5886-4c60-aa63-7877badc22d7,
General Ozzy,ZM,cafbeade-46f1-4012-983e-e5566445f740,
Ephraim,ZM,15b3597b-9799-42f0-ac22-366538883b6f,
SmaQ,ZM,8b91e160-e0c3-4555-b9fe-d6aaff3206b1,
Jesper Siliya,ZM,d3b9ecf4-a70f-4b1b-ae59-fb004cb696cc,
B1,ZM,9ae877d9-fbd4-45d3-9ce3-3609549a7e7b,
Waina,ZM,01b1ef4c-e0db-460f-9866-833428fbcd27,
Teliq,ZM,9aed6d73-39e0-4f1c-9885-178186aeabd6,
Mathew Tembo,ZM,58d9dcbb-458b-4423-a913-58c7ffb5efd4,
Cactus Agony,ZM,60622fa3-a4b2-4367-9e8c-8ff894220a82,
Saizi,ZM,fde4244f-efa5-4e55-ba1f-2c62a8d686b6,
Judy Yo,ZM,bec2adb6-47e3-4aed-9d31-027417045652,
Daddy Zemus,ZM,7d9d2fe5-c651-4474-8ec7-00c8ef3c4955,
Danny,ZM,c5653a65-bf3a-407c-870f-04a4605c0877,
Mashabe Band,ZM,7ba1450c-b881-4999-b565-a6a8e58968b6,
Kaladoshas,ZM,e8db91b8-14ff-45dd-9c69-593b1ebda848,
Belly Jay The Clockwise,ZM,53c8b563-ae32-4660-9cc4-4887e474e2be,
Salma Sky,ZM,f01fd4ab-6794-478d-ad42-fbc1bb0d080a,
The Four Pals,ZM,6455d887-428b-40d2-9985-f85d1a1668a5,
Mag44,ZM,2050e460-d309-4616-b46a-5266b9377235,
Yen Drino,ZM,75e18b10-adb0-41b4-ad31-7dd27a3a43bd,
2wo 1ne,ZM,cc06106c-92ef-4d59-8e03-3c680aa454d4,
Amayenge,ZM,87b0445e-f8f3-47c5-a65c-57edd6c5d01e,
Akim Simukonda,ZM,d2a99e8a-dcc7-4cdd-8633-0016a7789f25,
Julizya Band,ZM,f9eceb5c-6bb7-4808-90ca-fee4b627360f,
Theresa Ng'ambi,ZM,99371f2c-b29a-44a8-bd5d-14c992cb2fd3,
DJ Mzenga Man,ZM,bbfde1b9-0935-4b70-a154-f2d7b11e1184,
Young Riko,ZM,6c46ddcf-c1c6-4964-b632-810a13e8930f,
Lwalest,ZM,50bb8aeb-ca04-4182-bf09-a83345bf7c9f,
Frazer Xongz,ZM,15157baa-938c-4b51-b988-f17b552084f2,
