name,country,mbid,youtube_channel
Oliver Mtukudzi,ZW,566fb0fe-cf3a-48d1-a4ea-e9e6aaf7236e,
Thomas Mapfumo & The Blacks Unlimited,ZW,b03b49db-6dc9-4c4d-9000-62276d040668,
Michael Gibbs,ZW,b356db98-76fc-4e9c-98ed-a1dfb575e922,
Bhundu Boys,ZW,11fe85b6-8be3-4b15-a738-7a268061918b,
Black Umfolosi,ZW,f17aee47-d1c8-40c5-b690-3a54f608641a,
Peter V. Brett,ZW,344d48fb-3b43-4983-a95c-ac974fc82476,
Mokoomba,ZW,2634a915-e8e9-4fa2-8075-81aea0c8e640,
The Four Brothers,ZW,5a446e2b-4993-4131-a801-41e0b2ec1019,
Zeke Manyika,ZW,1aee400a-fcef-4477-8ea8-5cf2be3b2de4,
Dumisani Maraire,ZW,9a4d5b32-a34a-4aec-b781-865b4fb56026,
Chiwoniso,ZW,c4ce79b8-8a46-4fd7-ba92-c4bfff13c537,
Simba Tagz,ZW,366b8db2-3aca-427b-ac6a-de52a2692cfc,
Winky D,ZW,ae5e0bef-78d8-4438-9ba2-8adfa8819aed,
Leonard Zhakata,ZW,f2898114-e481-4df6-b348-9a47f66b055d,
Mann Friday,ZW,437ba355-4a31-41a0-908b-3e2c2ef89ce7,
The Green Arrows,ZW,66a418a4-1be5-4246-b483-51c50a68ed2e,
Ephat Mujuru,ZW,0f1c8746-3fe8-4021-b24a-bbbc1cc81542,
Zimbabwe Legit,ZW,1c6ae3b3-0115-4305-9917-d042e830abfb,
Shungudzo,ZW,19bdf08c-51f8-4fcc-a97e-34e339c3fe95,
Jah Prayzah,ZW,df4b14d3-7c30-40b7-820b-f98e066e803f,
Siyaya,ZW,db3581ba-2a88-4f49-9c2c-f215e51e4772,
Robson Banda & The New Black Eagles,ZW,5f6765c7-8b4c-44c2-950c-5d40df6227a3,
Roy & Royce,ZW,416bdff4-3128-409b-92bd-a83322ecac20,
Hallelujah Chicken Run Band,ZW,ba5c4a87-7470-4674-a8b1-ee3863e579a3,
Nuclear Winter,ZW,4614e418-0c60-4102-a6c9-45000e3d499c,
Netsayi,ZW,f8063105-ee0f-41e8-99f6-ef962fd3c5fc,
Taps Mugadza,ZW,28ddb982-4c75-4e05-a71c-fac73a7a0c18,
Batanai Marimba,ZW,b01cc8b0-6b06-4e16-9076-cce5966a6a9a,
Jacob Mafuleni,ZW,d2dda2ff-acc5-4601-b53a-f9ee1bf4b53a,
Tamy Moyo,ZW,7e51b2bb-a098-402b-8572-3d36d64db766,
Sharky,ZW,3986395b-4a3a-40ca-b173-e0e4e09f3316,
Sanii Makhalima,ZW,c90154f2-b894-433f-93bf-ed65050b8ca1,
Voltz JT,ZW,8cea5277-3855-4b53-bc2e-c631f962b71a,
tenten,ZW,0348b1b2-1f21-4c7c-a805-faf8d1478d42,
David Scobie,ZW,632b8fe5-597b-4069-9b15-061204434595,
Wells Fargo,ZW,0e73dcec-64f9-4303-9706-9f91579f6567,
